arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	5000	58221071	45738568	875216	
2	5000	58090167	45607664	1342822	
3	5000	58385735	45903232	1778171	
4	5000	57974723	45492220	2364023	
5	5000	58135875	45653372	2823990	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	10000	232354975	182389972	4810142	
2	10000	232877627	182912624	5983839	
3	10000	232837711	182872708	6936774	
4	10000	232303163	182338160	7919073	
5	10000	232533263	182568260	8920528	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	15000	524651083	412203580	12186931	
2	15000	524576699	412129196	13560500	
3	15000	524000071	411552568	15215016	
4	15000	524838239	412390736	16837307	
5	15000	524519139	412071636	18317884	


		media

