arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	5000	16762791	4280288	1542295	
2	5000	17026599	4544096	2234816	
3	5000	16894743	4412240	2855661	
4	5000	16801415	4318912	3535649	
5	5000	16856071	4373568	4190028	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	10000	67723575	17758572	6984196	
2	10000	67159615	17194612	8212111	
3	10000	66891759	16926756	9786050	
4	10000	67556015	17591012	11080013	
5	10000	66633703	16668700	12296738	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	15000	151749091	39301588	16377654	
2	15000	151969731	39522228	18254090	
3	15000	151543243	39095740	20264227	
4	15000	150660303	38212800	22496598	
5	15000	151545439	39097936	24244302	


		media

