arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	5000	42950	27779	428	
2	5000	42732	27703	421	
3	5000	42931	27928	392	
4	5000	42762	27638	507	
5	5000	42816	27743	418	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	10000	172267	110782	900	
2	10000	171410	111104	1017	
3	10000	171065	111083	849	
4	10000	170942	110688	876	
5	10000	170960	110821	889	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	15000	405709	251356	1511	
2	15000	408517	251477	1354	
3	15000	390597	263547	1456	
4	15000	391590	262190	1423	
5	15000	387233	254813	1434	


		media

