arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	5000	26716	2604	559	
2	5000	26856	2765	600	
3	5000	26878	2684	588	
4	5000	26704	2627	571	
5	5000	26733	2696	622	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	10000	108483	11126	1372	
2	10000	107819	10553	1127	
3	10000	107578	10424	1362	
4	10000	107855	10796	1177	
5	10000	107493	10229	1173	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	15000	244981	23823	1828	
2	15000	244617	24002	1772	
3	15000	243989	23734	2055	
4	15000	244156	23171	2233	
5	15000	244339	23706	1789	


		media

