arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	5000	45915	15458	456	
2	5000	45150	15431	450	
3	5000	45412	15555	455	
4	5000	45649	15473	448	
5	5000	45901	15232	449	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	10000	208957	60571	961	
2	10000	209322	60743	951	
3	10000	209845	60807	965	
4	10000	210944	60458	982	
5	10000	207924	60722	960	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	15000	502142	137785	1529	
2	15000	499293	136435	1527	
3	15000	498635	136653	1514	
4	15000	498622	137299	1513	
5	15000	498974	136770	1493	


		media

